,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Musical Instruments,0.0,6.25,46.15384615384615,33.33333333333333,0.0,10.0,0.0,0.0,23.076923076923077,0.0,53.84615384615385,40.0,0.0,28.57142857142857,18.181818181818183,0.0,0.0,38.46153846153847,13.333333333333334,12.5,33.33333333333333,0.0,0.0,0.0,17.647058823529413,0.0,27.27272727272727,33.33333333333333,0.0,16.666666666666664,0.0,0.0,46.15384615384615,27.27272727272727,20.0,25.0,7.142857142857142,50.0,20.0,0.0,25.0,20.0,36.36363636363637,12.5,31.25,33.33333333333333,6.666666666666667,8.333333333333332,35.714285714285715,8.333333333333332
Ovens,20.0,13.333333333333334,7.142857142857142,5.88235294117647,68.75,7.142857142857142,93.33333333333333,66.66666666666666,0.0,81.25,6.25,7.142857142857142,72.72727272727273,15.0,6.666666666666667,80.0,84.61538461538461,5.0,6.25,8.333333333333332,7.6923076923076925,85.71428571428571,7.142857142857142,64.70588235294117,5.88235294117647,57.89473684210527,0.0,7.6923076923076925,71.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,35.714285714285715,16.666666666666664,11.76470588235294,14.285714285714285,0.0,0.0,0.0,63.63636363636363,5.88235294117647,10.0,13.333333333333334,30.76923076923077,6.25,61.53846153846154
PC Games,0.0,0.0,43.75,35.714285714285715,0.0,58.82352941176471,0.0,0.0,56.25,0.0,52.94117647058824,53.333333333333336,0.0,14.285714285714285,6.666666666666667,0.0,0.0,100.0,47.05882352941176,0.0,42.857142857142854,7.142857142857142,0.0,0.0,52.63157894736842,0.0,53.84615384615385,50.0,0.0,56.25,46.15384615384615,0.0,0.0,27.27272727272727,41.66666666666667,53.333333333333336,0.0,47.05882352941176,46.666666666666664,0.0,27.77777777777778,53.84615384615385,50.0,6.666666666666667,60.0,25.0,0.0,0.0,94.11764705882352,0.0
Phone Cases,9.090909090909092,0.0,30.76923076923077,60.0,0.0,15.384615384615385,0.0,0.0,8.333333333333332,0.0,31.25,45.45454545454545,0.0,31.25,0.0,0.0,0.0,15.384615384615385,25.0,11.11111111111111,33.33333333333333,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.333333333333332,27.27272727272727,0.0,27.27272727272727,0.0,8.333333333333332,37.5,6.25,23.076923076923077,12.5,18.181818181818183,58.333333333333336,70.0,9.090909090909092,10.0,41.66666666666667,14.285714285714285,16.666666666666664,0.0,20.0,0.0
Printers,12.5,13.333333333333334,33.33333333333333,40.0,0.0,85.71428571428571,0.0,0.0,94.11764705882352,5.263157894736842,12.5,40.0,0.0,11.11111111111111,21.428571428571427,0.0,0.0,50.0,50.0,7.6923076923076925,45.45454545454545,0.0,0.0,0.0,78.57142857142857,0.0,83.33333333333334,58.333333333333336,0.0,76.92307692307693,20.0,0.0,41.66666666666667,8.333333333333332,0.0,72.72727272727273,6.25,17.647058823529413,87.5,7.142857142857142,31.25,28.57142857142857,56.25,0.0,53.84615384615385,44.44444444444444,7.142857142857142,0.0,23.076923076923077,8.333333333333332
Processors,8.333333333333332,18.75,42.857142857142854,50.0,13.333333333333334,70.0,16.666666666666664,18.181818181818183,81.81818181818183,7.142857142857142,50.0,25.0,10.0,20.0,9.090909090909092,0.0,11.11111111111111,66.66666666666666,61.53846153846154,10.0,41.66666666666667,14.285714285714285,0.0,25.0,50.0,21.428571428571427,72.72727272727273,70.0,8.333333333333332,63.63636363636363,25.0,23.076923076923077,53.333333333333336,37.5,72.72727272727273,0.0,18.181818181818183,30.76923076923077,53.84615384615385,16.666666666666664,41.66666666666667,33.33333333333333,64.28571428571429,50.0,58.333333333333336,37.5,7.142857142857142,7.6923076923076925,50.0,7.6923076923076925
Radiators,100.0,83.33333333333334,5.88235294117647,0.0,26.666666666666668,0.0,31.25,33.33333333333333,0.0,27.77777777777778,0.0,0.0,21.428571428571427,17.391304347826086,78.57142857142857,31.25,40.0,0.0,0.0,21.428571428571427,0.0,25.0,38.46153846153847,33.33333333333333,5.555555555555555,20.0,0.0,0.0,30.76923076923077,6.25,7.142857142857142,35.714285714285715,0.0,6.25,6.25,18.181818181818183,0.0,11.11111111111111,5.88235294117647,33.33333333333333,0.0,0.0,0.0,23.076923076923077,0.0,11.11111111111111,29.411764705882355,71.42857142857143,0.0,47.05882352941176
Radios,5.555555555555555,5.555555555555555,57.89473684210527,27.77777777777778,0.0,21.428571428571427,11.11111111111111,6.25,27.77777777777778,0.0,57.89473684210527,31.25,14.285714285714285,19.047619047619047,11.11111111111111,0.0,6.666666666666667,45.0,20.0,6.666666666666667,60.0,12.5,16.666666666666664,0.0,25.0,0.0,31.25,53.333333333333336,0.0,18.75,50.0,16.666666666666664,47.05882352941176,23.076923076923077,17.647058823529413,30.76923076923077,11.11111111111111,0.0,42.10526315789473,6.666666666666667,42.857142857142854,33.33333333333333,55.55555555555556,9.090909090909092,47.05882352941176,88.88888888888889,5.88235294117647,12.5,47.368421052631575,0.0
Scanners,6.25,9.523809523809524,41.17647058823529,44.44444444444444,7.142857142857142,75.0,12.5,0.0,80.0,0.0,30.0,41.17647058823529,16.666666666666664,22.22222222222222,16.666666666666664,0.0,0.0,44.44444444444444,33.33333333333333,16.666666666666664,40.0,13.333333333333334,7.142857142857142,0.0,68.75,0.0,63.63636363636363,64.28571428571429,6.666666666666667,70.58823529411765,20.0,11.76470588235294,46.666666666666664,12.5,87.5,53.84615384615385,5.88235294117647,42.10526315789473,0.0,14.285714285714285,23.52941176470588,16.666666666666664,47.05882352941176,0.0,47.05882352941176,33.33333333333333,11.76470588235294,7.142857142857142,25.0,5.88235294117647
Shavers,20.0,23.52941176470588,14.285714285714285,6.666666666666667,11.76470588235294,9.090909090909092,20.0,7.142857142857142,5.263157894736842,6.666666666666667,0.0,0.0,18.181818181818183,82.35294117647058,16.666666666666664,7.6923076923076925,7.6923076923076925,0.0,0.0,92.3076923076923,7.6923076923076925,7.6923076923076925,50.0,16.666666666666664,11.76470588235294,7.6923076923076925,10.0,0.0,11.11111111111111,14.285714285714285,0.0,14.285714285714285,0.0,18.181818181818183,7.142857142857142,16.666666666666664,33.33333333333333,6.666666666666667,14.285714285714285,0.0,6.25,8.333333333333332,6.25,9.090909090909092,0.0,20.0,100.0,20.0,0.0,15.384615384615385
Smart Watches,5.555555555555555,15.789473684210526,73.33333333333333,70.58823529411765,0.0,26.666666666666668,0.0,0.0,35.294117647058826,0.0,57.89473684210527,71.42857142857143,0.0,21.052631578947366,13.333333333333334,0.0,0.0,35.294117647058826,16.666666666666664,7.142857142857142,64.28571428571429,6.25,6.25,0.0,25.0,0.0,42.857142857142854,43.75,0.0,25.0,25.0,0.0,27.77777777777778,58.333333333333336,31.25,41.66666666666667,0.0,42.857142857142854,23.52941176470588,6.25,0.0,87.5,35.294117647058826,0.0,64.70588235294117,41.66666666666667,5.88235294117647,0.0,35.294117647058826,0.0
